job_id,title,description,formatted_experience_level,formatted_work_type,location,salary,key_skills,company_name_encoded,source_split
train-42,engineer/sr. engineer - cloudops,"Experience with Kubernetes and commonly-used tools in the Kubernetes ecosystem, e.g;Experience in",2-6 yrs,,Chandigarh,10to15,"saltstack, redis, nosql, nginx, docker, linux, machine learning, kubernetes..",3397,train
train-43,principal software engineer,Must have at least 3-4 years of experience in Dimensional Modelling;Must have 7-8 years of experience,7-8 yrs,,Mumbai(Airoli),10to15,"sql server, ssis, ssas, oltp, etl, analysis services, software development",1687,train
train-45,seo specialist for ecommerce website,- Basic knowledge of website design/development will be a huge plus though not,2-6 yrs,Analytics,"Delhi NCR, Chandigarh, Ludhiana",3to6,"seo, keyword research, link building, google analytics, html, javascript..",4037,train
train-46,hadoop administrator - devops,Proficient in at least 1 major scripting language;Proficient in at least 1 virtualisation technology e.g,2-7 yrs,Analytics,Bengaluru,10to15,"data science, big data analytics, machine learning, python, ansible..",3870,train
train-47,senior ic design engineer - dft/rtl,- Bachelors or Masters degree in EE or related field and 5+ years of hands-on IC design experience,4-9 yrs,,Bengaluru,15to25,"static timing analysis, rtl design, digital design, ic design, dft..",871,train
train-48,java developement professional,Coordinate functionality & performance testing and provide continuously improved product experience,14-16 yrs,,Chennai,15to25,"project planning, technical design, team leading, project management..",911,train
train-49,head - collections - bfsi,"- 8-10 years of experience in collections across different cycles (Frontend, recovery, and strategy",8-10 yrs,Analytics,Gurgaon,10to15,"collections strategy, recovery, collections process, risk analytics..",16,train
train-50,mule enterprise service bus,"b Experience with development deployment tools such as Maven, Jenkins, Nexus and Git;e Hands on",2-5 yrs,,Mumbai,6to10,"xml, troubleshooting, json, maven, business process, outsourcing, git..",190,train
train-51,risk analyst,2-4 years experience in reporting and analysis of Market Risk;Experience of delivering quality output,2-7 yrs,,Mumbai,10to15,"market risk, risk management, var, frm, basel, finance, risk analysis..",974,train
train-52,customer success manager,Ensure customers get maximum value from Our Client`s product by leveraging full platform functionality;5,5-7 yrs,,Mumbai,6to10,"product consultant, customer success, marketing",930,train
train-53,inventory executive: gurgaon,Must have minimum 2+ years of experience;Should be extremely responsible and good with management and,1-6 yrs,,Gurgaon,0to3,"inventory management, warehouse management, business operations..",868,train
train-54,finance controller ( leadership role ),CA with 2-6 years experience in progressively responsible financial leadership roles;Hunger to learn,2-6 yrs,,Mumbai,15to25,"accounting operations, accounts payable, accounts receivable..",697,train
train-55,manager/senior business analysis - credit rating,Job Role : - Analyse Company's financial performance which include; - Past,5-10 yrs,,Mumbai,15to25,"credit rating, business analysis, financial analysis, business research..",1775,train
train-56,senior analyst - c# technology,Strong candidates should have prior experience in software product development;- Good understanding of,3-5 yrs,,"Delhi NCR, Gurgaon",10to15,"c#, sql server, design patterns, c++, unit testing, high frequency trading",1969,train
train-57,senior business analyst- automotive,3-6 years of experience with 3-4 years of relevant experience in Business Research & Consulting,3-7 yrs,,Navi Mumbai,10to15,"secondary research, business research, primary research, project management..",888,train
train-59,sr consultant - advanced analytics,- Experience in using applied mathematics in business planning and management;experience with,8-10 yrs,Analytics,"Bengaluru, Hyderabad",10to15,"advanced analytics, statistical modeling, linear regression, statistics..",3612,train
train-60,sas data integration consultant,Consultant must have be ready for short-term and long-term travel across India and out of India for,2-6 yrs,,Across India,15to25,"sas data integration consultant, sas data integration, sas bi..",2503,train
train-61,sr-manager-hr,"Provide ongoing feedback to all the stakeholders on bench utilization, availability of skills; need for",10-14 yrs,,Bengaluru,15to25,"auditing, forecasting, research associate, process improvement..",2777,train
train-62,"devops engineer | fractal analytics, mumbai","2-9 Years of hands-on experience as a DevOps engineer with strong technical proficiency on public clouds,",2-7 yrs,Analytics,Mumbai,10to15,"ansible, python, aws, azure, cloud, linux",1474,train
train-63,avp for an us bank,He/She must have a very good coding knowledge as the role will be a techno-functional role;They are open,7-10 yrs,,Chennai,25to50,"spark, hive, scala, hadoop, python, techno functional, sas..",3383,train
train-64,sap fico consultant - ecc/mm/co modules,"""Minimum 8+ years of experience as SAP Finance functional analyst in implementation of Service",8-11 yrs,,Bengaluru,25to50,"gl accounting, sap fico, sap finance, copa, profitability analysis..",3536,train
train-65,consultant - data analytics - machine learning,"- Working jointly with our solution architects and business consultants, the Senior Consultant will be",1-5 yrs,Analytics,"Bengaluru, Delhi NCR, Kolkata",15to25,"sql, business intelligence, r, business development, data analytics..",3364,train
train-66,etl lead & data science,Industry experience in building and operationalizing various machine and deep learning models in finance/,7-10 yrs,,"Mumbai, Bengaluru, Chennai, Pune, Noida",15to25,"sql, data analysis, text mining, sas, r, statistical modeling..",783,train
train-67,senior technical architect - ca iam,2 + years experience in leading large strategic projects and programs in a technical capacity,12-20 yrs,,Hyderabad,25to50,"customer management, customer service, identity access management, conflict..",826,train
train-68,walk-in for sas @ wns gurgaon,"Knowledge and experience using analytical tools for analysing large datasets (,SAS, SQL, Excel, VBA, etc",5-7 yrs,,Gurgaon,3to6,"report, team leading, team handling, team management, sas, advance sas, sql",4774,train
train-69,bigdata developer,Job description Our Big Data capability team is hiring technologists who can produce optimal and,3-8 yrs,,Bengaluru,25to50,"design development, performance testing, big data, core java, spark, kafka",871,train
train-70,process innovation champions (pics),You must be able to identify implementable trends and technologies that can add value to our business,1-2 yrs,,Indore,6to10,"product strategy, conferences, secondary research, technical documentation",4611,train
train-71,eos is looking for senior manager recruitment,"Manpower Forecasting including capacity planning, skills mapping and inventory management Formulate",8-13 yrs,,"Mumbai, Mumbai Suburbs, Navi Mumbai",10to15,"recruitment, talent acquisition, mapping, need analysis, capacity planning",1405,train
train-73,python modeller - bfs - kpo/bpo,An exhilarating opportunity in the dynamic field of Analytics for 3+ years experienced modeler with,9-12 yrs,analytics,Bengaluru,15to25,"analytics, python, project management, modeler, predictive modeling..",2723,train
train-75,junior associate - business analyst,1-3 years of experience working as a BA in an IT company;Create documentation whenever and in whatever,1-3 yrs,,Pune,3to6,"business analysis, ehr, emr, user stories, healthcare, agile, sdlc..",3017,train
train-76,disys chennai hiring peoplesoft developers,"2+ years extensive experience in analysis, design, and development;Good verbal and written communication",2-7 yrs,,Chennai,3to6,"peoplesoft hcm, peoplesoft hrms, peoplesoft fscm, peoplesoft finance..",1113,train
train-77,associate vice president - analytics - credit cards - iim/isi/iisc/mdi,- Experience in Credit card/ banking domain with knowledge across customer lifecycle is must;- Candidate,7-12 yrs,Analytics,"Delhi NCR, Gurgaon",25to50,"banking analytics, team leading, credit cards, business intelligence..",1988,train
train-78,product manager - ecommerce domain,- Excellent verbal and written communication abilities: must effectively communicate with technical and,2-5 yrs,,Mumbai,6to10,"user experience, ux, product management, customer experience, new product..",3319,train
train-79,angular js developer,We have extensive experience in providing consulting services with expertise in mapping business,2-5 yrs,,Hyderabad,0to3,"ui development, html5, native, software engineering, react.js, css3..",4901,train
train-80,data science engineer,Good knowledge of key machine learning terms and an understanding of their implication on model outputs,3-7 yrs,Analytics,Noida,3to6,"sql queries, data science, arima, analytics, machine learning..",4877,train
train-82,sap fico consultant - fmcd,"- IT Governance, ITIL Framework, PMP/PRINCE2 certification, SAP FI/CO Certification;- Should have 3 End",10-12 yrs,,Mumbai,10to15,"asset accounting, finance, co, sap fico, profitability analysis, ap, profit..",1612,train
train-83,director - engineering - it - iit/ iiit/ nit,- Experience in developing and maintaining enterprise-scale solutions;Skill Set: Solid understanding of,10-15 yrs,,Bengaluru,25to50,"project management, product engineering, product development..",1010,train
train-84,data analyst,"- Experience and/or training in computer programming languages such as: SQL, SAS, R, Python;- Experience",1-3 yrs,,"Delhi NCR, Gurgaon",10to15,"sql, excel powerpoint, r, vba, mysql, python, data analysis..",1168,train
train-86,account assistant,Candidate should have his graduation in English Medium,1-3 yrs,,Ahmedabad,0to3,"accounting, book keeping, reconciliation",835,train
train-87,dft design engineer - rtl/vhdl/verilog,- Good RTL(VHDL or Verilog or system verilog) writing skills and/or the ability to create environment,5-10 yrs,,Bengaluru,15to25,"verilog, vhdl, rtl compiler, dft, design engineering, failure analysis..",3319,train
train-89,software engineer/ sr. software engineer - atg e-commerce development,Participate in requirement understanding and design discussion calls/meetings;Strong exposure on,3-7 yrs,,Bengaluru,10to15,"endeca, atg commerce, atg e - commerce, java atg, atg implementation",116,train
train-90,apps developer programmer analyst,- Experience in developing real time low latency applications;- Candidate should be willing to work,5-8 yrs,,Pune,6to10,"sql, multithreading, ooad, coding, debugging, investment banking..",910,train
train-91,"big data engineer, bangalore",Our engineering team is looking for a big data engineer with work experience of 1-3 years;He would be,1-3 yrs,,Bengaluru,6to10,"spark, hive, hadoop, scala, java, big data, machine learning, python, rest",4093,train
train-92,strategy / new business development (assistant manager - manager),MBA (or CA) with 5-7 years hand-on experience evaluating B-to-B,4-8 yrs,,Mumbai,15to25,"new business development, corporate strategy, strategic planning, financial..",3007,train
train-95,machine learning researcher - kpo,- Experience in machine learning/ deep learning/ text mining / computer vision is,11-15 yrs,Analytics,"Delhi NCR, Bengaluru, Hyderabad",25to50,"deep learning, machine learning, text mining, computer vision, analytics..",3612,train
train-96,business development manager - enterprise solutions - bi/crm/saas,6 - 8 Years of experience in Hunting role and Sales Management;Experience of selling Enterprise,3-8 yrs,,Bengaluru,6to10,"sales management, business development management, lead generation..",3218,train
train-97,job opportunity for presales head.,"Should have proven track record in the space of services, mobile, wireless, Digital and emerging",15-25 yrs,,Mumbai,15to25,"presales, digital marketing, digital strategy, rfp, sales, alliances..",2173,train
train-98,manager/senior manager - analytics - startup,"- Good problem structuring skills, ability to rapidly grasp new concepts/industry, ability to prioritize",6-9 yrs,Analytics,Bengaluru,10to15,"analytics, manager - analytics, python, consulting, marketing analytics..",884,train
train-99,analytics visualization,Combining unmatched experience and specialized skills across more than 40 industries and all business,10-12 yrs,Analytics,Mumbai,10to15,"analytics, business operations, business process, data modeling..",191,train
train-100,equity analyst & portfolio manager for investments ( experienced),able to spot high profit opportunities and general info on major listed equities in all caps and all,5-10 yrs,,"Mumbai, Mumbai Suburbs",10to15,"portfolio manager, wealth manager, wealth advisor, investment advisor..",1330,train
train-102,architect,Business Analyst - Telecom Business Analysis Enterrprise Architecture (TOGAF,12-15 yrs,,Bengaluru,15to25,"oracle, telecom, business analysis, togaf, documentation tools..",2841,train
train-103,senior pega consultant - prpc,"- Strong experience of working in consulting, solution planning, effort estimations, resource planning,",6-10 yrs,,Hyderabad,15to25,"pega prpc, java, bpm, application development, business rules..",2512,train
train-105,treasury / liquidity analyst with leading investment banking firm,Daily Monitoring and Reporting to Senior Management on key liquidity risk drivers through internal and,0-3 yrs,,Mumbai,0to3,"liquidity, treasury, treasury operations, forex operations..",2212,train
train-106,opening for the assistant manager - purchase,Delivery as per the committed/ required dates;Strong working knowledge and understanding of technical,10-14 yrs,,Pune(Shikrapur),10to15,"global procurement, purchase management, sourcing, negotiation..",983,train
train-107,senior business analyst - it,Senior Business Analyst Job Responsibilities : - Understanding the needs of multiple,3-6 yrs,,Bengaluru,6to10,"detailing, communication skills, data migration, business analysis..",1002,train
train-108,solution architect,The Cloud Architect will be responsible for delivering enterprise-class cloud design and solutions to EY,10-12 yrs,,"Bengaluru, Trivandrum, Kochi",10to15,"project management, project delivery, solution architecting, agile..",1305,train
train-109,java enterprise edition,Accenture Technology powers our clients businesses with innovative technologies established and emerging,3-6 yrs,,Pune,6to10,"debugging, business process, outsourcing, operations, pwd, j2ee, analytical..",190,train
train-110,senior manager - big data,- Expertise and significant hands-on (design and development) experience in at least 3 big data,8-12 yrs,,"Bengaluru, Gurgaon",10to15,"spark, project management, big data, rfps, solution design..",1969,train
train-112,program project mgmt,Accenture Technology powers our clients businesses with innovative technologies established and emerging,4-8 yrs,,Bengaluru,10to15,"data analysis, outsourcing, operations, continuous improvement..",191,train
train-113,erp functional consultant,minimum five years of increasingly responsible experience in an information technology environment,3-8 yrs,,Dubai,15to25,"erp functional, functional consultancy, data processing, data management..",479,train
train-115,engineering manager - software architecture & design patterns,- 5-8 years in software engineering with 2-3 years of management experience;- Experience working with,5-8 yrs,,Chennai,15to25,"android, sql, software architecture, software design, design patterns..",1710,train
train-116,specialized analytics analyst,Understanding of balance sheet (preferably) or inclination to learn the business and finance to,3-4 yrs,Analytics,Bengaluru,3to6,"financial services, financial analysis, business analysis, balance sheet..",910,train
train-117,media/ pharma internal audit ca/mba - big 4- mumbai,Good Knowledge of internal auditing standards issued by IIA and,2-5 yrs,,Mumbai,6to10,"enterprise risk management, internal audit, sox 404, auditing..",1014,train
train-119,manager - digital marketing & ecommerce - dairy/fmcg,Purpose of the job : (Start up experience a plus) - This role plays an key role to,5-8 yrs,,Hyderabad,6to10,"digital marketing, ecommerce, sales, brand marketing, marketing..",2998,train
train-120,head - trading - market making/high frequency trading - iit/nit/bits,- A minimum of three years prior experience in a similar role;- A strong academic background from a top,4-9 yrs,,Anywherein India,15to25,"high frequency trading, market making, quant trader, market maker..",1353,train
train-121,data analyst / analytic manager,- Proven working experience as a data analyst or business data analyst;- Knowledge of statistics and,2-4 yrs,Analytic,Noida(Sector-1 Noida),6to10,"excel, data analysis, sql, segmentation, data analytics, statistics..",2748,train
train-122,urgent requirement for senior client partner(b2b sales) in gurgaon,At least 2 years of proven work experience in pitching clients;Good commercial and business,2-6 yrs,,Gurgaon,10to15,"business development, b2b sales, corporate sales, marketing planning..",2513,train
train-123,quantitative research analyst | algorithmic trading,We are currently seeking Quantitative Researchers with relevant experience in the financial services,2-7 yrs,,"Delhi NCR, Noida",15to25,"python, c++, quantitative research, statistical analysis, statistics..",1459,train
train-125,acn - digital analytics -go to market - 11,Strong Consulting skills and demonstrated experience in managing teams across functions and geographies,2-5 yrs,Analytics,Bengaluru,6to10,"python, machine learning, digital marketing, forecasting..",190,train
train-126,head - research & innovation - nlp/deep learning,"- Masters degree in Computer Science, Engineering, or Mathematics, from top schools is a must;- 8+ years",8-13 yrs,,Bengaluru,15to25,"deep learning, natural language processing, machine learning, nlp, python..",1974,train
train-127,senior analyst operations and technology accounting,Should have experience in leading a team of 5-10 people;Minimum of 10 years experience in accounting and,10-14 yrs,,Mumbai,10to15,"process improvement, auditing, analytical, interpersonal skills, accounting..",911,train
train-128,manager - analytics - online/ecommerce - iit/iim/isb/isi/iift,At least 3 years of experience in analytics;Good written and oral communication skills;To come up with,3-7 yrs,Analytics,Mumbai,6to10,"digital marketing, promotions, segmentation, e - commerce..",4030,train
train-130,strategy consultant/project leader - iim/isb/mdi/fms,- The candidate would be required to work across verticals & across geographies;Candidates must have,7-10 yrs,,Mumbai,10to15,"business development, strategic planning, strategy consulting, b2b..",4305,train
train-131,avp - financial planning & analysis - ca/iim/isb/md,"- Experience on the business side, preferably revenue planning;Qualification : CA/ Full Time MBA from",8-12 yrs,,Mumbai,25to50,"finance, financial planning, revenue planning, information analysis..",4905,train
train-132,area credit manager - lap (loan against property),"Due Diligence in credit analysis, customer application screening, evaluation,",2-7 yrs,,Bengaluru,10to15,"area credit manager, area credit, lap, credit, underwriting..",2089,train
train-133,senior consultant - data analytics,"- 4-7 years of related experience, combination of risk, control, or audit and data analytics experience",4-7 yrs,Analytics,Mumbai,15to25,"predictive analytics, data visualization, excel, sql, data analytics..",3362,train
train-134,research scientist,Tech.- 5 - 7 - years experience;Good knowledge of polymer and surfactant structure property relationship,1-5 yrs,,Mumbai,6to10,"analytical, formulation, six sigma, procurement, ms office, agrochemical..",1987,train
train-135,technology architect,"With this envisioned expansion, CII is looking for technology solutions which can optimize and automate",12-15 yrs,,Hyderabad,25to50,"java, technical architecture, etl, enterprise architect..",869,train
train-136,manager/ senior manager - advance analytics - lifesciences/pharma,- Desired 2-4 years of relevant experience in Healthcare/ Lifesciences/ Pharmaceutical domain;- Must,6-10 yrs,Analytics,Delhi NCR,15to25,"sas sql, chaid, logistic regression, anova, excel, r, time series..",1988,train
train-137,"zonal sales (planning & analytics) manager-west & north,mumbai & delhi",Areas of Responsibility Description of responsibility Sales,4-6 yrs,Analytics,"Delhi, Mumbai",25to50,"sales planning, business development, sales development, zonal..",4308,train
train-138,delivery head banking business analytics - retail (14-18 years),"At least 14 years of experience into BFS industry, specifically into Retail",14-20 yrs,Analytics,"Mumbai, Bengaluru",25to50,"executive search, people management, account management, leadership hiring",1054,train
train-139,team leader - sales - automobile,Preferred : Should be proven sales experience which demands a rigorous time bound sales process,2-3 yrs,,Kolkata,10to15,"retail sales, marketing, consumer durables, sales planning, sales process..",3751,train
train-140,associate vice president - banking analytics - kpo - iim/xlri/fms/tiss,- Experience in Credit card/ banking domain with knowledge across customer lifecycle is must;- Candidate,7-12 yrs,Analytics,"Delhi NCR, Gurgaon",25to50,"banking analytics, customer management, customer service orientation..",1970,train
train-141,senior product manager,Organizational and project management skills; ability to multi-task and work on several assignments,9-14 yrs,Analytics,Chennai,15to25,"product manager, speech analytics, ml, ai, deep learning, nlp..",1871,train
train-142,hurry!!wipro|hiring for analyst role |on the spot offer!call,Should be comfortable working in both Day &Night shift; NOTE- CA/CA INTER/CS,0-2 yrs,,Delhi,0to3,"dataanalyst, analyst, backoffice, operations, data entry, backend..",4823,train
train-143,enterprise solutions architect,"Develop, document, and execute test plans to assess the integrity and accuracy of business processes,",6-9 yrs,,Bengaluru,10to15,"presales, biztalk, stored procedures, consulting, sdk, microsoft dynamics..",4541,train
train-144,acn - digital - analytics - customer analytics,Individual must be able to effectively manage cross-functional partners that are internal and external,1-3 yrs,Analytics,Bengaluru,3to6,"data analysis, sql, consulting, data management, spss, fmcg, analytical..",190,train
train-145,android developer,"* 3+ years experience working with Android;* A description of your professional experience (resume,",2-4 yrs,Analytic,Delhi,0to3,"android, kotlin",2000,train
train-146,sales executive,"Create, maintain & update vital information as required from time to time - regarding the client/plan",1-5 yrs,,"Kolkata, Mumbai",3to6,"sales executive activities, negotiation skills, analytical instruments..",2769,train
train-147,head of projects,Role in this level have responsibility to ensure that Projects are executed in an efficient and,12-20 yrs,,Qatar,10to15,"safety, environment, occupational health, head of projects, health..",3399,train
train-150,hiring build analytics engineer,3. Good understanding of the science behind machine learning algorithms (supervised and unsupervised,5-8 yrs,Analytics,Bengaluru(Whitefield),15to25,"cluster analysis, factor analysis, sas, time series analysis, r..",2816,train
train-151,manager - hr analytics - financial services,"- Should be able to independently drive and set up HR processes, SOPs and HR Analytics for the",5-7 yrs,Analytics,Mumbai,6to10,"hr analytics, investment banking, human resource management, finance..",3859,train
train-152,junior business analyst/analyst,Analytical skills: Ability to interpret data and analysis results to derive actionable insights rather,1-3 yrs,,Mumbai,3to6,"use cases, neural networks, data analysis, r, time series, data mining..",2701,train
train-153,"immediate openings for data stack hadoop admin in top mnc, bangalore","Good to have knowledge on Hadoop Ecosystem components or services, data ingestion, cluster planning and",4-6 yrs,,Bengaluru,0to3,"hdfs, mapreduce, hadoop, big data, access management, monitoring tools..",2031,train
train-154,walk in for hr operation- 27-oct-18,Employee Engagement and employee grievance activities experience is mandatory;Who can able to join us,1-3 yrs,,Bengaluru(4th Block Koramangala),0to3,"hr executive, onboarding, joining formalities, exit formalities",459,train
train-155,warehouse manager,Should possess strong analytical skills and have sound working knowledge of Excel;Should have 7-8 years,8-12 yrs,,Mumbai,15to25,"logistics, operations, warehouse management, auditing, inward, stock audit",4425,train
train-156,sales manager - flexible packaging industry,- Maximizing sales performance through delivering an exceptional customer experience and by taking,10-14 yrs,,Delhi NCR,25to50,"marketing strategy, sales management, sales forecasting, territory growth..",718,train
train-158,senior analyst - integrated markets planning (assistant director grade,12+ years relevant work experience; some of that experience in management consulting / advisory,12-17 yrs,,"Bengaluru, Kochi, Trivandrum, Gurgaon",25to50,"project management, strategic planning, management consulting..",1305,train
train-159,risk analytics professional - business intelligence team - wholesale,- Prior experience in Portfolio Analysis and Monitoring in driving strategic initiatives would be,10-12 yrs,Analytics,Bengaluru,15to25,"risk management, sas sql, credit risk, wholesale banking, risk analytics..",2837,train
